name,category_list,funding_total_usd,status,country_code,state_code,city,funding_rounds,Investors,Number_of_Investors,Acquirer,Acquirer_Category,Acquirer_Country,Acquirer_State,Acquirer_City,Acquired_Price,Acquired Currency,county,founded_at,Coordinates,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Uber,Transportation,8207450000,operating,USA,CA,San Francisco,13,AITV (Accelerate IT Ventures):1000000000|Baidu:1800000000.0|Benchmark:306000000.0|Bennett Coleman and Co Ltd:1000000000|BlackRock:1200000000|CrunchFund:37000000|Data Collective:37000000|Fidelity Investments:1200000000|First Round:12250000.0|Foundation Capital:1000000000|Founder Collective:1250000|Goldman Sachs:1637000000.0|Google Ventures:1458000000.0|HDS Capital:1000000000|Innovation Endeavors:11000000|Kleiner Perkins Caufield & Byers:1200000000|Lone Pine Capital:1200000000|Lowercase Capital:12250000.0|Menlo Ventures:1237000000.0|Microsoft:1000000000|Microsoft Corporation - Strategic Investments:1000000000|New Enterprise Associates:1200000000|Qatar Investment Authority:1200000000|Sherpa Capital:2400000000.0|Signatures Capital:37000000|Summit Action Fund:37000000|Summit Partners:1200000000|Tata Opportunities Fund:100000000|Times Internet:1000000000|TPG Growth:258000000|Tusk Ventures:37000000|Uber:258000000|Valiant Capital Partners:1200000000|Wellington Management:1200000000|Alfred Lin:12250000.0|Babak Nivi:1250000|Bobby Yazdani:37000000|Cyan Banister:1250000|David Cohen:1250000|Garrett Camp:200000|Jason Calacanis:1250000|Jason Port:1250000|Jeff Bezos:37000000|Josh Spear:1250000|Mike Walsh:1250000|Mitchell Kapor:1250000|Naval Ravikant:1250000|Nihal Mehta:37000000|Oren Michels:1250000|Scott Banister:12250000.0|Shawn Fanning:1250000|Travis Kalanick:200000|Troy Carter:37000000,53,-,-,-,-,-,0,-,San Francisco,2009,37.727239:-123.032229,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Clearwire,Software,5820000000,acquired,USA,WA,Kirkland,6,Bell Canada:100000000|BrightHouse:4700000000.0|Comcast:5620000000.0|Convergent Investors:20000000|Eagle River Holdings:2420000000.0|Goldman Sachs:20000000|Google:3200000000|Intel:5620000000.0|Liberty Associated Partners:20000000|Sprint Nextel:2500000000.0|Time Warner:5620000000.0,11,Sprint Nextel,Mobile|Telecommunications|Wireless,USA,KS,Overland Park,2200000000,USD,King,2003,41.837551:-87.681844,1,US,1567267756,68,43.08,-75.38,71.01,11.41
MediaVast,Marketing,4715000000,acquired,USA,NY,New York,2,Baroda Ventures:4715000000.0|QTV Capital:15000000|Time Warner Investments:4715000000.0|Ryan Born:15000000,4,Getty Images,Digital Media|Photography,GBR,H9,London,202000000,USD,New York,1999,34.07923:-118.402437,1,US,1567267785,47,40.73,-73.99,80.01,7.31
First Data Corporation,Finance,3500000000,ipo,USA,GA,Atlanta,1,KKR (Kohlberg Kravis Roberts & Co.):3500000000,1,-,-,-,-,-,0,-,Fulton,1971,41.837551:-87.681844,1,US,1567267668,51,33.75,-84.39,86,3.36
Facebook,Software,2425700000,ipo,USA,CA,Menlo Park,11,Accel:12700000|DST Global:1700000000.0|Elevation Partners:210000000|European Founders Fund:42500000.0|Goldman Sachs:1500000000|Greylock Partners:27500000|Horizons Ventures:120000000.0|Meritech Capital Partners:27500000|Microsoft:240000000|SV Angel:27500000|TriplePoint Capital:100000000|Li Ka-shing:120000000.0|Mark Pincus:12700000|Peter Thiel:500000|Reid Hoffman:13200000.0|Stuart Peterson:15000000,16,-,-,-,-,-,0,-,San Mateo,2004,40.664274:-73.9385,20,US,1567267772,77,37.45,-122.18,71.01,3.36
Airbnb,Travel,2394820000,operating,USA,CA,San Francisco,8,Andreessen Horowitz:112000000|Baillie Gifford:1500000000|China Broadband Capital:1500000000|CrunchFund:312000000.0|DST Global:112000000|Dragoneer Investment Group:475000000|Fidelity Investments:1500000000|FirstMark Capital:100000000|Founders Fund:200000000|General Atlantic:1500000000|General Catalyst Partners:112000000|GGV Capital:1500000000|Greylock Partners:7200000|Hillhouse Capital Group:1500000000|Horizon Ventures:1500000000|Kleiner Perkins Caufield & Byers:1500000000|Sequoia Capital:2294800000.0|Sherpa Capital:475000000|SV Angel:7200000|T. Rowe Price:1975000000.0|Temasek Holdings:1500000000|Tiger Global Management:1500000000|TPG Growth:475000000|Wellington Management:1500000000|Y Combinator:20000|Y Ventures:7800000.0|Ashton Kutcher:319200000.0|Elad Gil:7200000|Jeff Bezos:112000000|Jeremy Stoppelman:7200000|Keith Rabois:7200000|Oliver Jung:112000000,32,-,-,-,-,-,0,-,San Francisco,2008,32.8153:-117.134993,20,US,1567267822,77,37.78,-122.42,69.01,3.36
SoFi,Finance,1766199900,operating,USA,CA,San Francisco,11,Baseline Ventures:1161199900.0|DCM:157199900.0|DCM Ventures:1000000000|Discovery Capital:80000000|Innovation Endeavors:4000000|IVP:1200000000.0|Lakestar:200000000|QED Investors:80000000|Renren Inc.:1157199900.0|SGVC:80000000|SharesPost Investment Management:200000000|SoftBank:1000000000|Third Point Ventures:1200000000.0|Thomvest Ventures:80000000|Ulu Ventures:4000000|Wellington Management:1200000000.0|Wicklow Capital:80000000|Marco Rossi:200000000|Peter Thiel:80000000|Ron Suber:8000000.0,20,-,-,-,-,-,0,-,San Francisco,2011,47.92887:-122.092681,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Netflix,Entertainment,1730000000,ipo,USA,CA,Los Gatos,3,Groupe Arnault:30000000,1,-,-,-,-,-,0,-,Santa Clara,1997,25.775163:-80.208615,20,US,1567267765,82,37.23,-121.97,72,4.7
Avant,Software,1729000000,operating,USA,IL,Chicago,10,August Capital:579000000.0|Balyasny Asset Management:325000000|DFJ Growth:550000000.0|General Atlantic:325000000|Jefferies & Company:400000000|Jefferies Group:200000000|JP Morgan Chase & Co.:325000000|KKR (Kohlberg Kravis Roberts & Co.):625000000.0|QED Investors:20000000|RRE Ventures:550000000.0|Tiger Global Management:625000000.0|Victory Park Capital:904000000.0|Mark Friedgan:9000000|Peter Thiel:225000000,14,-,-,-,-,-,0,-,Cook,2012,33.577933:-117.729952,40,US,1567267448,52,41.88,-87.62,72,14.99
Palantir Technologies,Software,1671557162,operating,USA,CA,Palo Alto,16,ARTIS Ventures:640684042.0|Founders Fund:286500000.0|Glynn Capital Management:90000000|Mithril Capital Management:444184042|Reed Elsevier Ventures:47275269.0|Ulu Ventures:90000000|Benjamin Ling:90000000|Jeremy Stoppelman:90000000|Keith Rabois:90000000,9,-,-,-,-,-,0,-,Santa Clara,2004,40.664274:-73.9385,20,US,1567267506,77,37.44,-122.16,71.01,3.36
Solyndra,Manufacturing,1567504319,closed,USA,CA,Fremont,8,Argonaut Ventures:220000000|CMEA Capital:220000000|Redpoint Ventures:220000000|RockPort Capital:220000000|U.S. Department of Energy:535000000|U.S. Venture Partners (USVP):220000000,6,-,-,-,-,-,0,-,Alameda,2005,40.548216:-105.064833,20,US,1567267693,77,37.55,-121.99,70,3.36
Venari Resources,Manufacturing,1498515340,operating,USA,TX,Addison,1,Kelso & Co:1498515340|Temasek Holdings:1498515340|Warburg Pincus:1498515340|Jordan Cohen:1498515340,4,-,-,-,-,-,0,-,Dallas,2012,33.050769:-96.747944,75,US,1567267669,83,32.96,-96.83,81,5.82
Fisker Automotive,Manufacturing,1471000000,acquired,USA,CA,Irvine,9,A123 Systems:339000000.0|Ace Investments:339000000.0|Advanced Equities:150000000|Egis Capital Partners:86000000|Kleiner Perkins Caufield & Byers:510000000.0|New Enterprise Associates:150000000|Palo Alto Investors:235000000.0|Qatar Investment Authority:215000000.0|SeventySix Capital:275000000.0|U.S. Department of Energy:529000000,10,Wanxiang America,Automotive,USA,IL,Elgin,149200000,USD,Orange,2008,38.904149:-77.017094,90,US,1567267663,78,33.69,-117.83,75.99,5.82
Pinterest,Software,1315500000,operating,USA,CA,San Francisco,10,Andreessen Horowitz:1305000000.0|Bessemer Venture Partners:1315000000.0|blisce/:625000000.0|Fidelity Investments:611000000.0|FirstMark Capital:948500000.0|Goldman Sachs:186000000|Innovation Department:367000000|New York Angels:500000|New York Venture Partners:500000|Rakuten:100000000|Slow Ventures:100000000|SV Angel:386000000.0|Valiant Capital Partners:811000000.0|Wellington Management:186000000|Alexandre Mars:186000000|Brian Cohen:500000|Fritz Lanman:500000|Hank Vigil:500000|Jack Abraham:10500000.0|Jeremy Stoppelman:500000|Kevin Hartz:10500000.0|Max Levchin:10000000|Michael Birch:10500000.0|Rick Heitzmann:500000|Ron Conway:10000000|Scott Belsky:500000|Shana Fisher:500000|William Lohse:500000,28,-,-,-,-,-,0,-,San Francisco,2009,42.375967:-71.118275,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Space Exploration Technologies,Manufacturing,1245460000,operating,USA,CA,Hawthorne,7,Capricorn Venture Partners:1000000000|DFJ Growth:30435000|Draper Fisher Jurvetson (DFJ):1110435000.0|Fidelity Investments:1000000000|Founders Fund:1070000000.0|Google:1000000000|Musket Research Associates:50000000|Rothenberg Ventures:30000000|Valor Equity Partners:1050000000.0|Elon Musk:100000000|Scott Banister:30435000,11,-,-,-,-,-,0,-,Los Angeles,2002,47.620499:-122.350876,1,US,1567267744,69,33.91,-118.35,77,3.58
Cape Wind,Technology,1200000000,operating,USA,MA,Boston,3,Bank Of Tokyo - Mitsubishi UFJ:400000000|Danish Pension Fund:200000000|EKF:600000000|Natixis:400000000|Rabobank:400000000,5,-,-,-,-,-,0,-,Suffolk,2001,34.07923:-118.402437,2,US,1567267440,46,42.36,-71.06,78.01,9.17
Snapchat,Software,1185585000,operating,USA,CA,Pacific Palisades,8,Alibaba:200000000|Benchmark:92500000.0|Coatue Management:50000000|Fidelity Investments:337600000|General Catalyst Partners:80000000|GIC:485000000|Glade Brook Capital Partners:337600000|HDS Capital:485000000|IVP:80000000|Kleiner Perkins Caufield & Byers:485000000|Lightspeed Venture Partners:92985000.0|SV Angel:92500000.0|Tencent Holdings:80000000|Yahoo!:485000000|York Capital Management:337600000,15,-,-,-,-,-,0,-,Los Angeles,2011,39.125212:-94.551136,1,US,1567267794,69,34.04,-118.54,78.01,4.09
Wave,Manufacturing,1180000000,operating,USA,WA,Kirkland,2,Deutsche Bank:130000000|GI Partners:1050000000|Oak Hill Capital Partners:1050000000|SunTrust Bank:130000000|Wells Fargo Capital:130000000,5,-,-,-,-,-,0,-,King,2002,40.664274:-73.9385,1,US,1567267756,68,43.08,-75.38,71.01,11.41
Twitter,Services,1160166511,ipo,USA,CA,San Francisco,8,Benchmark:135000000.0|Bezos Expeditions:15000000|CRV:40000000.0|DFJ Growth:400000000|Digital Garage:50000000.0|DST Global:400000000|Employee Stock Option Fund (ESO Fund):400000000|Insight Venture Partners:100000000|IVP:135000000.0|Kleiner Perkins Caufield & Byers:200000000|Lowercase Capital:405000000.0|Morgan Stanley:100000000|Spark Capital:150000000.0|SV Angel:5000000|T. Rowe Price:500000000.0|Union Square Ventures:55000000.0|Alwaleed Bin Talal:400000000|Brian Pokorny:5000000|Dick Costolo:5000000|Greg Yaitanes:5000000|Jason Port:5000000|Kevin Rose:15000000|Marc Andreessen:5000000|Naval Ravikant:5000000|Ron Conway:5000000|Timothy Ferriss:15000000,26,-,-,-,-,-,0,-,San Francisco,2006,42.375967:-71.118275,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Juno Therapeutics,Technology,1159803496,ipo,USA,WA,Seattle,4,Alaska Permanent Fund:120000000|ARCH Venture Partners:120000000|Bezos Expeditions:190000000.0|Venrock:190000000.0,4,-,-,-,-,-,0,-,King,2013,37.727239:-123.032229,1,US,1567267556,77,47.6,-122.33,66.99,5.82
SolarCity,Technology,1158040000,ipo,USA,CA,San Mateo,14,DBL Investors:198500000.0|DFJ Growth:10000000|Draper Fisher Jurvetson (DFJ):75500000.0|First Solar:30000000|Google:280000000|Mayfield Fund:21500000|Pacific Gas and Electric (PG&E):60000000|Shea Ventures:81000000|Silver Lake Kraftwerk:113000000|Silver Lake Partners:66000000|U.S. Bancorp:250000000|Valor Equity Partners:147000000.0|Elon Musk:123000000.0|Lyndon Rive:123000000.0|Nicholas J. Pritzker:81000000|Peter Rive:10000000,16,-,-,-,-,-,0,-,San Mateo,2006,41.310809:-72.924953,20,US,1567267823,77,37.54,-122.31,70,3.36
SurveyMonkey,Software,1150000000,operating,USA,CA,Palo Alto,5,Baillie Gifford:250000000|Bank of America Merrill Lynch:100000000|Google Capital:700000000.0|Iconiq Capital:450000000|JP Morgan Chase & Co.:350000000|Laurel Crown Partners:450000000|Morgan Stanley:250000000|Salesforce Ventures:450000000|Social Capital:700000000.0|SunTrust Robinson Humphreys:100000000|T. Rowe Price:250000000|Tiger Global Management:700000000.0,12,-,-,-,-,-,0,-,Santa Clara,1999,42.33196:-71.020173,1,US,1567267506,77,37.44,-122.16,71.01,3.36
Groupon,Marketing,1137000000,ipo,USA,IL,Chicago,6,Accel:165000000.0|Andreessen Horowitz:950000000|Battery Ventures:1085000000.0|DST Global:1085000000.0|Fidelity Ventures:950000000|Greylock Partners:950000000|Kleiner Perkins Caufield & Byers:950000000|Maverick Capital:950000000|Maveron:16200000|Morgan Stanley Venture Partners:950000000|New Enterprise Associates:169800000.0|Silver Lake Partners:950000000|SV Angel:30000000|Technology Crossover Ventures:950000000|Brad Keywell:1000000|Eric Lefkofsky:1000000|Peter Barris:16200000|Ted Leonsis:16200000,18,-,-,-,-,-,0,-,Cook,2008,38.98728:-77.118598,40,US,1567267448,52,41.88,-87.62,72,14.99
Bloom Energy,Technology,1110000000,operating,USA,CA,Sunnyvale,6,Advanced Equities:150000000|Apex Venture Partners:250000000.0|Credit Suisse:130000000|DAG Ventures:430000000.0|Goldman Sachs:150000000|GSV Capital:430000000.0|Kleiner Perkins Caufield & Byers:880000000.0|Mobius Venture Capital:280000000.0|New Enterprise Associates:430000000.0|Sunbridge Partners:150000000,10,-,-,-,-,-,0,-,Santa Clara,2001,42.33196:-71.020173,1,US,1567267839,82,37.37,-122.04,72,2.44
Dropbox,Software,1107215000,operating,USA,CA,San Francisco,6,Accel:256000000.0|AFSquare:250000000|Amidzad Partners:1200000|Benchmark:250000000|BlackRock:350000000|Employee Stock Option Fund (ESO Fund):350000000|Glynn Capital Management:250000000|Goldman Sachs:250000000|Greylock Partners:250000000|Index Ventures:250000000|Innovation Department:350000000|IVP:250000000|JPMorgan:500000000|QueensBridge Venture Partners:350000000|RIT Capital Partners:250000000|Salesforce Ventures:350000000|Sequoia Capital:257200000.0|Signatures Capital:1200000|SV Angel:250000000|T. Rowe Price:350000000|Valiant Capital Partners:250000000|Y Combinator:15000|Ali Partovi:1200000|Bobby Yazdani:1200000|Hadi Partovi:1200000|Pejman Nozad:1200000,26,-,-,-,-,-,0,-,San Francisco,2007,37.727239:-123.032229,20,US,1567267822,77,37.78,-122.42,69.01,3.36
SunEdison,Technology,1043300000,acquired,USA,MD,Beltsville,7,Allco Renewable Energy:161000000.0|Altira Group:15000000|Applied Ventures:161000000.0|Black River Asset Management:161000000.0|Ever Stream:67300000|Greylock Partners:161000000.0|HSH Nordbank:161000000.0|MissionPoint Capital Partners:161000000.0|New Energy Capital:67300000|North Sky Capital:67300000|Overseas Private Investment Corp:397500000.0|THE WORLD BANK GROUP:212500000,12,MEMC Electronic Materials,Semiconductors,USA,MO,O Fallon,200000000,USD,Prince Georges,2003,40.664274:-73.9385,1,US,1567267681,45,39.03,-76.92,86,6.93
